Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL
NO | Brand,Brand exact,xala,Exact,,https://xala.no/
NO | Brand,Brand exact,xala technologies,Exact,,https://xala.no/
NO | Brand,Brand exact,xala tech,Exact,,https://xala.no/
NO | Brand,Brand exact,xala as,Exact,,https://xala.no/
NO | Brand,Brand exact,xala no,Exact,,https://xala.no/
NO | Brand,Brand exact,xalatechnologies,Exact,,https://xala.no/
NO | Brand,Brand exact,xala teknologi,Exact,,https://xala.no/
NO | Brand,Brand exact,xala asker,Exact,,https://xala.no/
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,saksbehandlingssystem kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,saksbehandlingssystem for kommuner,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,leverandør saksbehandlingssystem,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,nytt saksbehandlingssystem kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,bytte saksbehandlingssystem,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,system for saksbehandling,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,elektronisk saksbehandling system,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,digital saksbehandling kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,skreddersydd saksbehandlingssystem,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,utvikling av saksbehandlingssystem,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingssystem,sakssystem kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Saksbehandlingsplattform,saksbehandlingsplattform,Exact,,https://xala.no/tjenester/saksbehandlingsplattform
NO | Saksbehandling (vendor intent),Saksbehandlingsplattform,saksbehandlingsplattform kommune,Exact,,https://xala.no/tjenester/saksbehandlingsplattform
NO | Saksbehandling (vendor intent),Saksbehandlingsplattform,plattform for saksbehandling,Exact,,https://xala.no/tjenester/saksbehandlingsplattform
NO | Saksbehandling (vendor intent),Saksbehandlingsplattform,felles saksbehandlingsplattform,Exact,,https://xala.no/tjenester/saksbehandlingsplattform
NO | Saksbehandling (vendor intent),Fagsystem,fagsystem kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Fagsystem,fagsystem offentlig sektor,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Fagsystem,fagsystem leverandør,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Fagsystem,utvikling av fagsystem,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Saksbehandling (vendor intent),Fagsystem,nytt fagsystem kommune,Exact,,https://xala.no/tjenester/saksbehandlingssystem
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,tilskuddsportal for kommuner,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,tilskuddsportal leverandør,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,tilskuddsportal kommune system,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,system for tilskuddsforvaltning,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,tilskuddsforvaltning system,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,digital tilskuddsordning kommune,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Tilskuddsportal,digitalisere tilskuddsordning,Exact,,https://xala.no/tjenester/tilskuddsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,bevillingsportal for kommuner,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,bevillingsportal leverandør,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,bevillingssystem kommune,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,system for skjenkebevilling,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,saksbehandling skjenkebevilling system,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,digital bevillingssøknad kommune,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,salgsbevilling system kommune,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Tilskudd og bevilling (vendor intent),Bevillingsportal,bevillingssaker system,Exact,,https://xala.no/tjenester/bevillingsportal
NO | Modernisering og integrasjon,Modernisering av fagsystemer,modernisering av fagsystemer,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,modernisere fagsystem,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,systemmodernisering offentlig sektor,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,migrering av eldre systemer,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,migrering fra legacy system,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,legacy modernisering,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,modernisere gammelt fagsystem,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Modernisering av fagsystemer,erstatte gammelt fagsystem,Exact,,https://xala.no/tjenester/modernisering-av-fagsystemer
NO | Modernisering og integrasjon,Integrasjoner,altinn integrasjon,Exact,,https://xala.no/tjenester/integrasjoner
